Year,Strata,Time_Frames,Strata_Start_Date,Strata_End_Date,Sample_Size,Strata_SeasonID,Strata_Season
2006,8,8/17-8/24,8/17/2006,8/24/2006,200,2,Fall
2006,9,8/25-8/31,8/25/2006,8/31/2006,133,2,Fall
2007,1,7/1-7/9,7/1/2007,7/9/2007,210,1,Summer
2007,2,7/10-7/18,7/10/2007,7/18/2007,210,1,Summer
2007,3,7/19-8/2,7/19/2007,8/2/2007,210,2,Fall
2007,4,8/3-8/8,8/3/2007,8/8/2007,186,2,Fall
2007,5,8/9-8/13,8/9/2007,8/13/2007,210,2,Fall
2007,6,8/14-8/18,8/14/2007,8/18/2007,210,2,Fall
2007,7,8/19-8/24,8/19/2007,8/24/2007,55,2,Fall
2007,8,8/25-8/31,8/25/2007,8/31/2007,210,2,Fall
2007,9,9/01-9/10,9/1/2007,9/10/2007,79,2,Fall
2008,1,6/9-6/15,6/9/2008,6/15/2008,192,1,Summer
2008,2,6/16-6/22,6/16/2008,6/22/2008,192,1,Summer
2008,3,6/23-6/29,6/23/2008,6/29/2008,192,1,Summer
2008,4,6/30-7/6,6/30/2008,7/6/2008,192,1,Summer
2008,5,7/7-7/13,7/7/2008,7/13/2008,192,1,Summer
2008,6,7/14-7/18,7/14/2008,7/18/2008,138,1,Summer
2008,7,7/19-7/27,7/19/2008,7/27/2008,192,2,Fall
2008,8,7/28-8/5,7/28/2008,8/5/2008,192,2,Fall
2008,9,8/6-8/14,8/6/2008,8/14/2008,192,2,Fall
2008,10,8/15-8/18,8/15/2008,8/18/2008,192,2,Fall
2008,11,8/19-8/26,8/19/2008,8/26/2008,192,2,Fall
2008,12,8/27-9/7,8/27/2008,9/7/2008,192,2,Fall
2009,1,6/8-6/15,6/8/2009,6/15/2009,192,1,Summer
2009,2,6/16-6/22,6/16/2009,6/22/2009,288,1,Summer
2009,3,6/23-6/29,6/23/2009,6/29/2009,288,1,Summer
2009,4,6/30-7/6,6/30/2009,7/6/2009,288,1,Summer
2009,5,7/7-7/13,7/7/2009,7/13/2009,288,1,Summer
2009,6,7/14-7/18,7/14/2009,7/18/2009,75,1,Summer
2009,7,7/19-7/27,7/19/2009,7/27/2009,74,2,Fall
2009,8,7/28-8/5,7/28/2009,8/5/2009,88,2,Fall
2009,9,8/6-8/14,8/6/2009,8/14/2009,180,2,Fall
2009,10,8/15-8/24,8/15/2009,8/24/2009,96,2,Fall
2009,11,8/25-9/7,8/25/2009,9/7/2009,53,2,Fall
2010,1,6/12-6/21,6/12/2010,6/21/2010,288,1,Summer
2010,2,6/22-6/28,6/22/2010,6/28/2010,288,1,Summer
2010,3,6/29-7/5,6/29/2010,7/5/2010,288,1,Summer
2010,4,7/6-7/12,7/6/2010,7/12/2010,288,1,Summer
2010,5,7/13-7/18,7/13/2010,7/18/2010,160,1,Summer
2010,6,7/19-7/27,7/19/2010,7/27/2010,288,2,Fall
2010,7,7/28-8/10,7/28/2010,8/10/2010,288,2,Fall
2010,8,8/11-8/17,8/11/2010,8/17/2010,229,2,Fall
2010,9,8/18-8/22,8/18/2010,8/22/2010,288,2,Fall
2010,10,8/23-9/7,8/23/2010,9/7/2010,278,2,Fall
2011,1,6/6-6/13,6/6/2011,6/13/2011,288,1,Summer
2011,2,6/14-6/19,6/14/2011,6/19/2011,288,1,Summer
2011,3,6/20-6/27,6/20/2011,6/27/2011,288,1,Summer
2011,4,6/28-7/5,6/28/2011,7/5/2011,288,1,Summer
2011,5,7/6-7/11,7/6/2011,7/11/2011,288,1,Summer
2011,6,7/12-7/18,7/12/2011,7/18/2011,288,1,Summer
2011,7,7/19-7/25,7/19/2011,7/25/2011,288,2,Fall
2011,8,7/26-8/5,7/26/2011,8/5/2011,288,2,Fall
2011,9,8/6-8/11,8/6/2011,8/11/2011,288,2,Fall
2011,10,8/12-8/21,8/12/2011,8/21/2011,288,2,Fall
2011,11,8/22-8/26,8/22/2011,8/26/2011,288,2,Fall
2011,12,8/27-9/7,8/27/2011,9/7/2011,288,2,Fall
2012,1,6/12-6/18,6/12/2012,6/18/2012,288,1,Summer
2012,2,6/19-6/25,6/19/2012,6/25/2012,288,1,Summer
2012,3,6/26-7/2,6/26/2012,7/2/2012,288,1,Summer
2012,4,7/3-7/9,7/3/2012,7/9/2012,288,1,Summer
2012,5,7/10-718,7/10/2012,7/18/2012,288,1,Summer
2012,6,7/19-7/24,7/19/2012,7/24/2012,288,2,Fall
2012,7,7/25-8/2,7/25/2012,8/2/2012,288,2,Fall
2012,8,8/3-8/10,8/3/2012,8/10/2012,288,2,Fall
2012,9,8/11-8/22,8/11/2012,8/22/2012,288,2,Fall
2012,10,8/23-9/7,8/23/2012,9/7/2012,203,2,Fall
2013,1,6/13-6/24,6/13/2013,6/24/2013,288,1,Summer
2013,2,6/25-7/4,6/25/2013,7/4/2013,288,1,Summer
2013,3,7/5-7/11,7/5/2013,7/11/2013,288,1,Summer
2013,4,7/12-7/18,7/12/2013,7/18/2013,288,1,Summer
2013,5,7/19-7/29,7/19/2013,7/29/2013,288,2,Fall
2013,6,7/30-8/6,7/30/2013,8/6/2013,224,2,Fall
2013,7,8/7-8/16,8/7/2013,8/16/2013,288,2,Fall
2013,8,8/17-8/22,8/17/2013,8/22/2013,288,2,Fall
2013,9,8/23-9/7,8/23/2013,9/7/2013,238,2,Fall
2014,1,6/1-6/8,6/1/2014,6/8/2014,192,1,Summer
2014,2,6/9-6/15,6/9/2014,6/15/2014,288,1,Summer
2014,3,6/16-6/22,6/16/2014,6/22/2014,288,1,Summer
2014,4,6/23-6/29,6/23/2014,6/29/2014,288,1,Summer
2014,5,6/30-7/6,6/30/2014,7/6/2014,288,1,Summer
2014,6,7/7-7/13,7/7/2014,7/13/2014,248,1,Summer
2014,7,7/14-7/18,7/14/2014,7/18/2014,288,1,Summer
2014,8,7/19-7/27,7/19/2014,7/27/2014,288,2,Fall
2014,9,7/28-8/6,7/28/2014,8/6/2014,288,2,Fall
2014,10,8/7-8/17,8/7/2014,8/17/2014,288,2,Fall
2014,11,8/18-8/24,8/18/2014,8/24/2014,288,2,Fall
2014,12,8/25-9/7,8/25/2014,9/7/2014,164,2,Fall
2015,1,5/30-6/21,5/30/2015,6/21/2015,288,1,Summer
2015,2,6/22-7/5,6/22/2015,7/5/2015,288,1,Summer
2015,3,7/6-7/18,7/6/2015,7/18/2015,288,1,Summer
2015,4,7/19-7/22,7/19/2015,7/22/2015,288,2,Fall
2015,5,7/23-8/2,7/23/2015,8/2/2015,288,2,Fall
2015,6,8/3-8/11,8/3/2015,8/11/2015,270,2,Fall
2015,7,8/12-8/16,8/12/2015,8/16/2015,288,2,Fall
2015,8,8/17-8/24,8/17/2015,8/24/2015,288,2,Fall
2015,9,8/25-8/31,8/25/2015,8/31/2015,288,2,Fall
2016,1,5/30-6/21,5/30/2016,6/21/2016,288,1,Summer
2016,2,6/22-6/28,6/22/2016,6/28/2016,288,1,Summer
2016,3,6/29-7/9,6/29/2016,7/9/2016,288,1,Summer
2016,4,7/10-7/18,7/10/2016,7/18/2016,288,1,Summer
2016,5,7/19-7/25,7/19/2016,7/25/2016,288,2,Fall
2016,6,7/26-8/7,7/26/2016,8/7/2016,288,2,Fall
2016,7,8/8-8/21,8/8/2016,8/21/2016,288,2,Fall
2016,8,8/22-8/31,8/22/2016,8/31/2016,288,2,Fall
2017,1,5/31-6/19,5/31/2017,6/19/2017,288,1,Summer
2017,2,6/20-6/26,6/20/2017,6/26/2017,288,1,Summer
2017,3,6/27-7/9,6/27/2017,7/9/2017,288,1,Summer
2017,4,7/10-7/18,7/10/2017,7/18/2017,288,1,Summer
2017,5,7/19-7/22,7/19/2017,7/22/2017,288,2,Fall
2017,6,7/23-8/2,7/23/2017,8/2/2017,288,2,Fall
2017,7,8/3-8/12,8/3/2017,8/12/2017,240,2,Fall
2017,8,8/13-8/20,8/13/2017,8/20/2017,288,2,Fall
2017,9,8/21-8/28,8/21/2017,8/28/2017,288,2,Fall
2017,10,8/29-9/7,8/29/2017,9/7/2017,255,2,Fall
2018,1,6/1-6/18,6/1/2018,6/18/2018,288,1,Summer
2018,2,6/19-6/26,6/19/2018,6/26/2018,288,1,Summer
2018,3,6/27-7/8,6/27/2018,7/8/2018,288,1,Summer
2018,4,7/9-7/18,7/9/2018,7/18/2018,288,1,Summer
2018,5,7/19-7/25,7/19/2018,7/25/2018,288,2,Fall
2018,6,7/26-8/8,7/26/2018,8/8/2018,288,2,Fall
2018,7,8/9-8/15,8/9/2018,8/15/2018,288,2,Fall
2018,8,8/16-8/19,8/16/2018,8/19/2018,275,2,Fall
2018,9,8/20-8/23,8/20/2018,8/23/2018,288,2,Fall
2018,10,8/24-9/2,8/24/2018,9/2/2018,288,2,Fall
2018,11,9/3-9/7,9/3/2018,9/7/2018,243,2,Fall
2019,1,6/2-6/24,6/2/2019,6/24/2019,263,1,Summer
2019,2,6/25-7/7,6/25/2019,7/7/2019,288,1,Summer
2019,3,7/8-7/18,7/8/2019,7/18/2019,288,1,Summer
2019,4,7/19-7/26,7/19/2019,7/26/2019,288,2,Fall
2019,5,7/27-8/9,7/27/2019,8/9/2019,288,2,Fall
2019,6,8/10-8/20,8/10/2019,8/20/2019,288,2,Fall
2019,7,8/21-8/31,8/21/2019,8/31/2019,288,2,Fall
2020,1,6/7-6/28,6/7/2020,6/28/2020,288,1,Summer
2020,2,6/29-7/9,6/29/2020,7/9/2020,288,1,Summer
2020,3,7/10-7/18,7/10/2020,7/18/2020,288,1,Summer
2020,4,7/19-8/2,7/19/2020,8/2/2020,288,2,Fall
2020,5,8/3-8/16,8/3/2020,8/16/2020,262,2,Fall
2020,6,8/17-8/27,8/17/2020,8/27/2020,272,2,Fall
2020,7,8/28-9/7,8/29/2020,9/7/2020,145,2,Fall
2021,1,6/7-7/2,6/7/2021,7/2/2021,180,1,Summer
2021,2,7/3-7/18,7/3/2021,7/18/2021,272,1,Summer
2021,3,7/19-8/5,7/19/2021,8/5/2021,236,2,Fall
2021,4,8/6-8/22,8/6/2021,8/22/2021,220,2,Fall
2021,5,8/23-9/7,8/23/2021,9/7/2021,280,2,Fall
2022,1,6/12-6/28,6/12/2022,6/28/2022,288,1,Summer
2022,2,6/29-7/9,6/29/2022,7/9/2022,288,1,Summer
2022,3,7/10-7/18,7/10/2022,7/18/2022,288,1,Summer
2022,4,7/19-7/28,7/19/2022,7/28/2022,288,2,Fall
2022,5,7/29-8/14,7/29/2022,8/14/2022,288,2,Fall
2022,6,8/15-8/23,8/15/2022,8/23/2022,288,2,Fall
2022,7,8/24-9/7,8/24/2022,9/7/2022,251,2,Fall
2023,1,6/12-6/25,6/12/2023,6/25/2023,288,1,Summer
2023,2,6/26-7/8,6/26/2023,7/8/2023,288,1,Summer
2023,3,7/9-7/18,7/9/2023,7/18/2023,288,1,Summer
2023,4,7/19-7/31,7/19/2023,7/31/2023,288,2,Fall
2023,5,8/1-8/13,8/1/2023,8/13/2023,288,2,Fall
2023,6,8/14-8/27,8/14/2023,8/27/2023,288,2,Fall
2023,7,8/28-9/7,8/28/2023,9/7/2023,192,2,Fall
2024,1,6/6-6/23,6/6/2024,6/23/2024,169,1,Summer
2024,2,6/24-7/7,6/24/2024,7/7/2024,288,2,Summer
2024,3,7/8-7/18,7/8/2024,7/18/2024,243,3,Summer
